"BundleId","TrackId","Name"
"ca.psiphon.Psiphon","1276263909","Psiphon VPN: Freedom Online"
"cc.shadowfoxSG.client","1460130689","Cool VPN Pro-Secure Proxy VPN"
"ch.protonmail.vpn","1437005085","Proton VPN: Fast & Secure"
"co.allconnected.vpnmaster","1025707485","VPN Proxy Master - Super VPN"
"co.infinitysoft.vpn360","1193154948","VPN 360: Fast Total VPN Proxy"
"com.allconnected.turbovpn","1365309175","Turbo VPN Private Browser"
"com.atrix.rusvpn","1410235921","Planet Free VPN Super Proxy"
"com.betternet","946659216","Betternet: Fast Secure VPN"
"com.expressvpn.iosvpn","886492891","ExpressVPN Secure & Fast VPN"
"com.free.secure.fast.vpn","1532634346","Ostrich VPN - Proxy Master"
"com.free.vpn.hotspot.secure.vpnify","1503251395","VPNIFY - Unlimited VPN"
"com.freevpnapp.freevpn","1575330471","Free VPN - Fast & Secure Proxy"
"com.hotspotvpn.super4-ios","1528940523","VPN - Fast VPN Super"
"com.nordvpn.NordVPN","905953485","NordVPN: VPN Fast & Secure"
"com.optimal.vpn","1492285103","VPN -fast unlimited secure vpn"
"com.secure.vpn.proxy.fast.server","1591542521","Secure VPN Proxy - Fast Server"
"com.surfshark.vpnclient.ios","1391782046","Surfshark VPN: Fast VPN App"
"com.wirevpn.free","1615422104","WireVPN - Fast VPN & Proxy"
"com.xvpn","1250312807","X-VPN: VPN Fast & Secure"
"halovpn","1495112322","HaloVPN: Fast Secure VPN Proxy"
"halovpn.lite","1541921405","HaloVPN Pro: Fast VPN Proxy"
"mobi.mobilejump.freevpn","1370293473","VPN - Super Unlimited Proxy"
"mobi.mobilejump.vpn","1282216562","VPN - Fast VPN Proxy"
"vpn.vpn.proxy","1474675452","VPN - Fast & Secure VPN Proxy"
"vpn.vpn.vpn","1465229429","VMP VPN: Fast Unlimited Proxy"
